Q;cle
Quand l'un de nous s'excuse lorsque nos discussions prennent une mauvaise direction, le problème ne s'étend pas;Atr1
Je sais que nous pouvons ignorer nos différences, même si parfois les choses deviennent difficiles;Atr2
Quand nous en avons besoin, nous pouvons reprendre nos discussions avec ma femme depuis le début et les corriger;Atr3
Quand je me dispute avec ma femme, finalement il me convient de la contacter;Atr4
Le temps que je passe avec ma femme est spécial pour nous;Atr5
Nous n'avons pas de temps à la maison en tant que partenaires;Atr6
Nous sommes comme deux étrangers partageant le même environnement à la maison plutôt que de former une famille;Atr7
J'apprécie nos vacances avec ma femme;Atr8
J'apprécie voyager avec ma femme;Atr9
Ma femme et moi avons la plupart de nos objectifs en commun;Atr10
Je pense qu'un jour, dans le futur, quand je regarderai en arrière, je verrai que ma femme et moi sommes en harmonie l'un avec l'autre;Atr11
Ma femme et moi avons des valeurs similaires en termes de liberté personnelle;Atr12
Mon mari et moi avons des divertissements similaires;Atr13
La plupart de nos objectifs pour les personnes (enfants, amis, etc.) sont les mêmes;Atr14
Nos rêves de vivre avec ma femme sont similaires et harmonieux;Atr15
Nous sommes d'accord avec ma femme sur ce que l'amour devrait être;Atr16
Nous partageons les mêmes opinions avec ma femme sur le bonheur dans la vie;Atr17
Ma femme et moi avons des idées similaires sur la façon dont le mariage devrait être;Atr18
Ma femme et moi avons des idées similaires sur les rôles dans le mariage;Atr19
Ma femme et moi avons des valeurs similaires en matière de confiance;Atr20
Je sais exactement ce que ma femme aime;Atr21
Je sais comment ma femme veut être prise en charge quand elle est malade;Atr22
Je connais la nourriture préférée de ma femme;Atr23
Je peux vous dire quel type de stress ma femme affronte dans sa vie;Atr24
J'ai connaissance du monde intérieur de ma femme;Atr25
Je connais les préoccupations de base de ma femme;Atr26
Je sais quelles sont les sources actuelles de stress de ma femme;Atr27
Je connais les espoirs et les souhaits de ma femme;Atr28
Je connais très bien ma femme;Atr29
Je connais les amis de ma femme et leurs relations sociales;Atr30
Je ressens de l'agressivité quand je me dispute avec ma femme;Atr31
Lorsque je discute avec ma femme, j'utilise généralement des expressions telles que "tu fais toujours" ou "tu ne fais jamais";Atr32
Je peux faire des déclarations négatives sur la personnalité de ma femme pendant nos discussions;Atr33
Je peux utiliser des expressions offensantes pendant nos discussions;Atr34
Je peux insulter pendant nos discussions;Atr35
Je peux être humiliant lorsque nous nous disputons;Atr36
Ma dispute avec ma femme n'est pas calme;Atr37
Je déteste la manière dont ma femme aborde les choses;Atr38
Les disputes surviennent souvent soudainement;Atr39
Nous commençons juste une dispute avant que je comprenne ce qui se passe;Atr40
Quand je parle à ma femme de quelque chose, mon calme se brise soudainement;Atr41
Quand je me dispute avec ma femme, je reste juste là sans rien dire;Atr42
J'ai surtout soif de calmer un peu l'ambiance;Atr43
Parfois, je pense qu'il est bon pour moi de quitter la maison pendant un certain temps;Atr44
Je préfère rester silencieux plutôt que de me disputer avec ma femme;Atr45
Même si j'ai raison dans l'argument, j'ai soif de ne pas contrarier l'autre partie;Atr46
Quand je me dispute avec ma femme, je reste silencieux parce que j'ai peur de ne pas pouvoir contrôler ma colère;Atr47
Je me sens dans le vrai dans nos discussions;Atr48
Je n'ai rien à voir avec ce dont on m'accuse;Atr49
En réalité, je ne suis pas celui qui est coupable de ce dont on m'accuse;Atr50
Je ne suis pas celui qui a tort des problèmes à la maison;Atr51
Je n'hésiterais pas à parler des lacunes de ma femme;Atr52
Lorsque je discute, je lui rappelle les problèmes d'incompétence de ma femme;Atr53
Je n'ai pas peur de parler de l'incompétence de ma femme;Atr54
